# Quartus II Version 6.0 Build 202 06/20/2006 Service Pack 1 SJ Web Edition
# File: D:\usr\cpu\doc\cycore\cycore.csv
# Generated on: Tue Aug 08 14:58:19 2006

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,ramb_d[0],Location,PIN_219,Yes
,ramb_d[10],Location,PIN_206,Yes
,ramb_d[11],Location,PIN_208,Yes
,ramb_d[12],Location,PIN_214,Yes
,ramb_d[13],Location,PIN_216,Yes
,ramb_d[14],Location,PIN_218,Yes
,ramb_d[15],Location,PIN_222,Yes
,ramb_d[1],Location,PIN_217,Yes
,ramb_d[2],Location,PIN_215,Yes
,ramb_d[3],Location,PIN_213,Yes
,ramb_d[4],Location,PIN_207,Yes
,ramb_d[5],Location,PIN_203,Yes
,ramb_d[6],Location,PIN_201,Yes
,ramb_d[7],Location,PIN_197,Yes
,ramb_d[8],Location,PIN_200,Yes
,ramb_d[9],Location,PIN_202,Yes
,ramb_ncs,Location,PIN_223,Yes
,ramb_nlb,Location,PIN_224,Yes
,ramb_noe,Location,PIN_228,Yes
,ramb_nub,Location,PIN_226,Yes
,ramb_nwe,Location,PIN_196,Yes
,ser_ncts,Location,PIN_28,Yes
,ser_nrts,Location,PIN_177,Yes
,ser_rxd,Location,PIN_153,Yes
,ser_txd,Location,PIN_178,Yes
,wd,Location,PIN_166,Yes
